danceability,energy,key,mode,instrumentalness,bpm,valence,title,artist,year,popularity,link,image,genre,uri,adj_key
0.672,0.62,8,1,0.0,78.005,0.627,Rockin' That Shit,The-Dream,2009,61,https://open.spotify.com/track/3RBGG1be9aBaSvjnw6ABkh,https://i.scdn.co/image/ab67616d00001e024895d86d023cc3aef4fb1210,pop,spotify:track:3RBGG1be9aBaSvjnw6ABkh,8.0
0.803,0.454,8,0,0.0,99.99,0.739,Me & U,Cassie,2006,71,https://open.spotify.com/track/7k6IzwMGpxnRghE7YosnXT,https://i.scdn.co/image/ab67616d00001e02f4c4ee507c2558262869f415,pop,spotify:track:7k6IzwMGpxnRghE7YosnXT,20.0
0.65,0.753,2,0,0.0,82.478,0.616,Next to You,Mike Jones,2009,58,https://open.spotify.com/track/7xVwhsuZTUWhIyFeDH6rYr,https://i.scdn.co/image/ab67616d00001e02debcf1dafbab38de65120884,pop,spotify:track:7xVwhsuZTUWhIyFeDH6rYr,14.0
0.839,0.706,5,0,0.0,96.673,0.839,Always On Time,"Ja Rule, Ashanti",2001,70,https://open.spotify.com/track/4hrae8atte6cRlSC9a7VCO,https://i.scdn.co/image/ab67616d00001e02e37dce36d17a97c3011d1068,pop,spotify:track:4hrae8atte6cRlSC9a7VCO,17.0
0.806,0.721,10,0,0.0,94.967,0.781,Let It Go,"Keyshia Cole, Missy Elliott, Lil' Kim",2007,62,https://open.spotify.com/track/2RqZFOLOnzVmHUX7ZMcaES,https://i.scdn.co/image/ab67616d00001e02911ef35f75422d0482cec8bf,pop,spotify:track:2RqZFOLOnzVmHUX7ZMcaES,22.0
0.789,0.55,11,0,0.0,172.049,0.696,Throw It In The Bag,"Fabolous, The-Dream",2009,54,https://open.spotify.com/track/6c0GmyBsE7mQtrVvxJaWc3,https://i.scdn.co/image/ab67616d00001e0232d0bc6e565d1f9c7856430c,pop,spotify:track:6c0GmyBsE7mQtrVvxJaWc3,23.0
0.728,0.327,0,0,0.0,100.0,0.195,I'm Sprung,T-Pain,2005,66,https://open.spotify.com/track/0DLOyyQvwPTSDKuhpzMMwA,https://i.scdn.co/image/ab67616d00001e02dbaa4ff0c40e19d9c19ed760,pop,spotify:track:0DLOyyQvwPTSDKuhpzMMwA,12.0
0.745,0.666,9,1,0.0,129.995,0.708,Beautiful Girls,Sean Kingston,2008,62,https://open.spotify.com/track/67D9O4Oau629qirRXtTWCS,https://i.scdn.co/image/ab67616d00001e02f7bfc1a13e585524bcd3d376,pop,spotify:track:67D9O4Oau629qirRXtTWCS,9.0
0.758,0.712,7,1,0.0,149.998,0.795,Kiss Me Thru The Phone,"Soulja Boy, Sammie",2008,73,https://open.spotify.com/track/2q4rjDy9WhaN3o9MvDbO21,https://i.scdn.co/image/ab67616d00001e026aef62bd0a60aac7df9a9e37,pop,spotify:track:2q4rjDy9WhaN3o9MvDbO21,7.0
0.752,0.921,5,0,0.0,115.033,0.634,Take You There,Sean Kingston,2008,62,https://open.spotify.com/track/6AdLyvisRKHLAwARaZMGr6,https://i.scdn.co/image/ab67616d00001e02f7bfc1a13e585524bcd3d376,pop,spotify:track:6AdLyvisRKHLAwARaZMGr6,17.0
0.798,0.443,2,1,0.0,125.232,0.354,Don't Matter,Akon,2006,70,https://open.spotify.com/track/7I6DceMT3utDOHjcYCbrr4,https://i.scdn.co/image/ab67616d00001e02d9bcf5565005950b353bc9cf,pop,spotify:track:7I6DceMT3utDOHjcYCbrr4,2.0
0.629,0.696,1,0,0.0,93.034,0.623,Gold Digger,"Kanye West, Jamie Foxx",2005,75,https://open.spotify.com/track/1PS1QMdUqOal0ai3Gt7sDQ,https://i.scdn.co/image/ab67616d00001e02428d2255141c2119409a31b2,pop,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,13.0
0.593,0.74,8,1,2.22e-05,118.008,0.502,Apologize,OneRepublic,2007,66,https://open.spotify.com/track/1NrJYpdAi7uosDRPmSYrsG,https://i.scdn.co/image/ab67616d00001e0234ef81d1ff3b4682a4e97f70,pop,spotify:track:1NrJYpdAi7uosDRPmSYrsG,8.0
0.866,0.454,0,1,1.49e-06,99.985,0.368,I Wanna Love You,"Akon, Snoop Dogg",2006,70,https://open.spotify.com/track/0CXVjQI9wsqaGeIARkkpYc,https://i.scdn.co/image/ab67616d00001e02d9bcf5565005950b353bc9cf,pop,spotify:track:0CXVjQI9wsqaGeIARkkpYc,0.0
0.743,0.948,0,0,0.0,130.024,0.614,Beautiful,"Akon, Colby O'Donis, Kardinal Offishall",2008,59,https://open.spotify.com/track/7rv0UuxMX7CpUUwEE1jVrd,https://i.scdn.co/image/ab67616d00001e029394f4d49f1598a13a580ebc,pop,spotify:track:7rv0UuxMX7CpUUwEE1jVrd,12.0
0.656,0.578,7,0,0.0,94.514,0.556,Let Me Love You,Mario,2004,70,https://open.spotify.com/track/3ibKnFDaa3GhpPGlOUj7ff,https://i.scdn.co/image/ab67616d00001e02c42212db6d665fab0c51d495,pop,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,19.0
0.81,0.538,0,0,0.0,109.97,0.828,Because Of You,Ne-Yo,2007,71,https://open.spotify.com/track/6CFPFnS9EcLs2I0nWqtWci,https://i.scdn.co/image/ab67616d00001e02ec4f8c81eb9ddee00e01798d,pop,spotify:track:6CFPFnS9EcLs2I0nWqtWci,12.0
0.66,0.847,1,1,0.0,180.01,0.925,Me Love,Sean Kingston,2008,54,https://open.spotify.com/track/44M8gY48QHhvc6vn5be10N,https://i.scdn.co/image/ab67616d00001e02f7bfc1a13e585524bcd3d376,pop,spotify:track:44M8gY48QHhvc6vn5be10N,1.0
0.833,0.568,7,1,0.0,89.958,0.369,Locked Up,Akon,2005,63,https://open.spotify.com/track/48EQasc6XD0pOQtkIOWqOC,https://i.scdn.co/image/ab67616d00001e026ec7ab30397ea37295340a41,pop,spotify:track:48EQasc6XD0pOQtkIOWqOC,7.0
0.66,0.361,6,1,0.0,148.073,0.604,Imma Star (Everywhere We Are),Jeremih,2009,46,https://open.spotify.com/track/1QOxGqu6VTjx58nslWBFVW,https://i.scdn.co/image/ab67616d00001e023ef4572e653cc08326c9551a,pop,spotify:track:1QOxGqu6VTjx58nslWBFVW,6.0
0.727,0.71,4,1,0.0,81.995,0.378,I Tried,"Bone Thugs-N-Harmony, Akon",2007,58,https://open.spotify.com/track/2elA6JLRaQ6iB7hxiuTKN4,https://i.scdn.co/image/ab67616d00001e020c078eab10f525a0bd0eb6b3,pop,spotify:track:2elA6JLRaQ6iB7hxiuTKN4,4.0
0.8,0.536,7,1,0.0,95.03,0.247,Toot It And Boot It,YG,2010,52,https://open.spotify.com/track/3AqcBOSlJF7xMgvLpQoa3c,https://i.scdn.co/image/ab67616d00001e0270fbdc9191bace769ae0a0a5,pop,spotify:track:3AqcBOSlJF7xMgvLpQoa3c,7.0
0.816,0.5,1,1,1.53e-06,124.037,0.649,U Got It Bad,Usher,2001,67,https://open.spotify.com/track/7J41dYQolQJEtj3UmKLu5r,https://i.scdn.co/image/ab67616d00001e027750146aac26aade0a867913,pop,spotify:track:7J41dYQolQJEtj3UmKLu5r,1.0
0.828,0.653,0,0,3.25e-06,68.507,0.575,Fuck It (I Don't Want You Back),Eamon,2004,61,https://open.spotify.com/track/1p5kC161fWMA2QlwV3Vi4W,https://i.scdn.co/image/ab67616d00001e0276ffccbcc83f043e7573470d,pop,spotify:track:1p5kC161fWMA2QlwV3Vi4W,12.0
0.714,0.665,4,0,0.0,78.515,0.842,Touch My Body,Mariah Carey,2008,65,https://open.spotify.com/track/2aEuXA1KswHlCGPOuPmCOW,https://i.scdn.co/image/ab67616d00001e02633bb0a5f75b91c45c3a6b37,pop,spotify:track:2aEuXA1KswHlCGPOuPmCOW,16.0
0.588,0.877,8,1,0.0,155.165,0.645,Knock You Down,"Keri Hilson, Kanye West, Ne-Yo",2009,63,https://open.spotify.com/track/58FUwmyGUqkt53YPUcm7cJ,https://i.scdn.co/image/ab67616d00001e027cee1418480bc213ffca6b05,pop,spotify:track:58FUwmyGUqkt53YPUcm7cJ,8.0
0.8,0.502,1,1,0.0,115.091,0.388,Say Goodbye,Chris Brown,2005,64,https://open.spotify.com/track/5F7IJrXD6Fa3EmqoYE0gU4,https://i.scdn.co/image/ab67616d00001e02f9685817281327d5fecb244e,pop,spotify:track:5F7IJrXD6Fa3EmqoYE0gU4,1.0
0.833,0.44,11,0,4.38e-05,97.01,0.424,I Don't Wanna Know,Mario Winans,2000,56,https://open.spotify.com/track/28KdK3DzO2WOUwPLkR0qsR,https://i.scdn.co/image/ab67616d00001e023935bf754fe141100ad5c8d7,pop,spotify:track:28KdK3DzO2WOUwPLkR0qsR,23.0
